Word,Difficulty
eagle,3
hawk,3
crow,3
dove,3
fish,3
shark,3
whale,3
dolphin,3
insect,3
ant,3
bee,3
fly,3
spider,3
body,3
head,3
face,3
eye,3
ear,3
nose,3
mouth,3
tooth,3
hair,3
arm,3
hand,3
finger,3
leg,3
foot,3
toe,3
skin,3
bone,3
blood,3
heart,3
mind,3
soul,3
food,3
bread,3
meat,3
rice,3
soup,3
fruit,3
apple,3
orange,3
banana,3
grape,3
vegetable,3
potato,3
tomato,3
carrot,3
onion,3
drink,3
water,3
milk,3
juice,3
tea,3
coffee,3
house,3
room,3
door,3
window,3
wall,3
floor,3
roof,3
bed,3
chair,3
table,3
desk,3
lamp,3
kitchen,3
bathroom,3
garden,3
yard,3
fence,3
gate,3
road,3
street,3
path,3
bridge,3
city,3
town,3
village,3
building,3
store,3
shop,3
market,3
church,3
school,3
hospital,3
bank,3
park,3
farm,3
factory,3
office,3
hotel,3
restaurant,3
theater,3
museum,3
car,3
bus,3
train,3
truck,3
boat,3
ship,3
plane,3
bike,3
walk,3
run,3
jump,3
swim,3
fly,3
drive,3
ride,3
climb,3
fall,3
sit,3
stand,3
lie,3
sleep,3
wake,3
eat,3
drink,3
cook,3
bake,3
cut,3
break,3
fix,3
build,3
make,3
do,3
have,3
get,3
give,3
take,3
bring,3
buy,3
sell,3
pay,3
find,3
lose,3
keep,3
hold,3
carry,3
wear,3
wash,3
clean,3
open,3
close,3
lock,3
turn,3
push,3
pull,3
lift,3
drop,3
throw,3
catch,3
hit,3
kick,3
punch,3
help,3
save,3
hurt,3
kill,3
die,3
live,3
stay,3
leave,3
go,3
come,3
arrive,3
enter,3
return,3
begin,3
start,3
stop,3
finish,3
end,3
continue,3
wait,3
hope,3
wish,3
dream,3
think,3
know,3
believe,3
feel,3
love,3
hate,3
like,3
want,3
need,3
use,3
try,3
ask,3
answer,3
tell,3
say,3
speak,3
talk,3
listen,3
hear,3
see,3
watch,3
look,3
show,3
hide,3
meet,3
know,3
learn,3
teach,3
study,3
read,3
write,3
draw,3
paint,3
sing,3
dance,3
play,3
work,3
rest,3
travel,3
move,3
change,3
grow,3
become,3
seem,3
appear,3
disappear,3
exist,3
happen,3
occur,3
cause,3
effect,3
result,3
reason,3
purpose,3
meaning,3
truth,3
lie,3
fact,3
idea,3
thought,3
opinion,3
feeling,3
emotion,3
love,3
hate,3
fear,3
anger,3
joy,3
sadness,3
surprise,3
wonder,3
beauty,3
art,3
music,3
literature,3
poetry,3
drama,3
comedy,3
tragedy,3
history,3
science,3
nature,3
life,3
death,3
birth,3
growth,3
health,3
sickness,3
pain,3
pleasure,3
happiness,3
sadness,3
wealth,3
poverty,3
peace,3
war,3
freedom,3
justice,3
truth,3
honor,3
glory,3
victory,3
defeat,3
success,3
failure,3
friend,3
enemy,3
stranger,3
guest,3
host,3
king,3
queen,3
prince,3
princess,3
duke,3
duchess,3
lord,3
lady,3
sir,3
madam,3
president,3
governor,3
mayor,3
judge,3
lawyer,3
doctor,3
nurse,3
teacher,3
professor,3
student,3
pupil,3
artist,3
musician,3
painter,3
poet,3
writer,3
author,3
actor,3
actress,3
singer,3
dancer,3
worker,3
laborer,3
farmer,3
fisherman,3
hunter,3
gatherer,3
merchant,3
trader,3
banker,3
clerk,3
secretary,3
manager,3
director,3
chief,3
leader,3
follower,3
servant,3
slave,3
master,3
owner,3
ruler,3
citizen,3
subject,3
native,3
foreigner,3
visitor,3
traveler,3
stranger,3
friend,3
companion,3
partner,3
ally,3
opponent,3
rival,3
competitor,3
customer,3
client,3
patient,3
victim,3
survivor,3
witness,3
judge,3
jury,3
court,3
law,3
crime,3
punishment,3
reward,3
prize,3
gift,3
present,3
offer,3
favor,3
kindness,3
cruelty,3
mercy,3
justice,3
fairness,3
equality,3
liberty,3
rights,3
duties,3
responsibilities,3
privileges,3
opportunities,3
choices,3
decisions,3
actions,3
deeds,3
words,3
thoughts,3
feelings,3
emotions,3
desires,3
wishes,3
hopes,3
fears,3
dreams,3
goals,3
plans,3
ideas,3
beliefs,3
opinions,3
views,3
perspectives,3
attitudes,3
behaviors,3
habits,3
customs,3
traditions,3
cultures,3
societies,3
communities,3
groups,3
teams,3
families,3
clans,3
tribes,3
nations,3
states,3
empires,3
kingdoms,3
republics,3
democracies,3
dictatorships,3
monarchies,3
oligarchies,3
aristocracies,3
theocracies,3
anarchies,3
utopias,3
dystopias,3
worlds,3
realms,3
domains,3
spheres,3
fields,3
areas,3
regions,3
zones,3
districts,3
neighborhoods,3
communities,3
villages,3
towns,3
cities,3
metropolises,3
megacities,3
capitals,3
centers,3
hubs,3
nodes,3
points,3
locations,3
sites,3
spots,3
places,3
positions,3
coordinates,3
addresses,3
destinations,3
landmarks,3
monuments,3
buildings,3
structures,3
edifices,3
constructions,3
architectures,3
designs,3
plans,3
blueprints,3
models,3
prototypes,3
samples,3
examples,3
instances,3
cases,3
illustrations,3
demonstrations,3
proofs,3
evidences,3
facts,3
data,3
information,3
knowledge,3
wisdom,3
understanding,3
comprehension,3
insight,3
awareness,3
consciousness,3
perception,3
sensation,3
feeling,3
emotion,3
passion,3
zeal,3
enthusiasm,3
excitement,3
thrill,3
joy,3
delight,3
pleasure,3
satisfaction,3
contentment,3
happiness,3
bliss,3
ecstasy,3
rapture,3
euphoria,3
elation,3
exhilaration,3
glee,3
merriment,3
mirth,3
cheer,3
gladness,3
optimism,3
hope,3
anticipation,3
expectation,3
confidence,3
trust,3
faith,3
belief,3
conviction,3
certainty,3
assurance,3
security,3
safety,3
protection,3
defense,3
shelter,3
refuge,3
haven,3
sanctuary,3
asylum,3
retreat,3
hideaway,3
hideout,3
lair,3
den,3
nest,3
burrow,3
cave,3
tunnel,3
passage,3
corridor,3
hall,3
hallway,3
lobby,3
foyer,3
entrance,3
exit,3
doorway,3
gateway,3
portal,3
arch,3
bridge,3
link,3
connection,3
relation,3
relationship,3
bond,3
tie,3
attachment,3
affection,3
fondness,3
liking,3
preference,3
inclination,3
tendency,3
propensity,3
disposition,3
temperament,3
character,3
personality,3
identity,3
individuality,3
uniqueness,3
distinctiveness,3
difference,3
variety,3
diversity,3
multitude,3
plurality,3
abundance,3
plenty,3
profusion,3
wealth,3
richness,3
opulence,3
luxury,3
extravagance,3
excess,3
surplus,3
glut,3
overflow,3
flood,3
deluge,3
torrent,3
cascade,3
waterfall,3
rapids,3
current,3
flow,3
stream,3
brook,3
creek,3
river,3
lake,3
pond,3
pool,3
puddle,3
ocean,3
sea,3
gulf,3
bay,3
harbor,3
port,3
dock,3
pier,3
wharf,3
quay,3
shore,3
coast,3
beach,3
sand,3
dune,3
cliff,3
bluff,3
ledge,3
ridge,3
peak,3
summit,3
top,3
apex,3
pinnacle,3
zenith,3
acme,3
height,3
elevation,3
altitude,3
depth,3
abyss,3
chasm,3
gorge,3
canyon,3
valley,3
basin,3
plain,3
plateau,3
mesa,3
butte,3
hill,3
mound,3
knoll,3
slope,3
grade,3
incline,3
decline,3
descent,3
ascent,3
rise,3
fall,3
drop,3
plunge,3
dive,3
leap,3
jump,3
bound,3
skip,3
hop,3
spring,3
bounce,3
rebound,3
ricochet,3
deflect,3
avert,3
avoid,3
evade,3
elude,3
escape,3
flee,3
run,3
race,3
dash,3
rush,3
hurry,3
speed,3
accelerate,3
decelerate,3
slow,3
stop,3
halt,3
cease,3
pause,3
linger,3
delay,3
procrastinate,3
postpone,3
defer,3
adjourn,3
suspend,3
interrupt,3
break,3
puncture,3
pierce,3
penetrate,3
enter,3
insert,3
inject,3
infuse,3
imbue,3
ingrain,3
embed,3
lodge,3
stick,3
adhere,3
cling,3
cleave,3
split,3
divide,3
separate,3
part,3
disconnect,3
detach,3
unfasten,3
loosen,3
free,3
release,3
let,3
allow,3
permit,3
enable,3
empower,3
authorize,3
sanction,3
approve,3
endorse,3
support,3
back,3
uphold,3
maintain,3
sustain,3
nourish,3
feed,3
supply,3
provide,3
furnish,3
equip,3
arm,3
outfit,3
attire,3
dress,3
clothe,3
cover,3
conceal,3
hide,3
mask,3
disguise,3
camouflage,3
obscure,3
block,3
impede,3
hinder,3
obstruct,3
prevent,3
thwart,3
foil,3
frustrate,3
baffle,3
confuse,3
perplex,3
puzzle,3
mystify,3
bemuse,3
amuse,3
entertain,3
delight,3
charm,3
enchant,3
captivate,3
fascinate,3
intrigue,3
interest,3
engage,3
occupy,3
involve,3
concern,3
regard,3
respect,3
esteem,3
admire,3
adore,3
cherish,3
treasure,3
value,3
prize,3
appreciate,3
enjoy,3
savor,3
relish,3
luxuriate,3
revel,3
glory,3
exult,3
celebrate,3
commemorate,3
honor,3
laud,3
praise,3
acclaim,3
applaud,3
cheer,3
encourage,3
inspire,3
motivate,3
stimulate,3
provoke,3
incite,3
instigate,3
prompt,3
spur,3
urge,3
press,3
push,3
prod,3
nudge,3
coax,3
wheedle,3
cajole,3
persuade,3
convince,3
convert,3
sway,3
influence,3
affect,3
impact,3
impress,3
strike,3
hit,3
smite,3
beat,3
thrash,3
whip,3
lash,3
flog,3
scourge,3
punish,3
discipline,3
correct,3
rectify,3
amend,3
revise,3
edit,3
rewrite,3
rephrase,3
reword,3
recast,3
remodel,3
redesign,3
reorganize,3
restructure,3
rearrange,3
reorder,3
reschedule,3
relocate,3
move,3
transfer,3
shift,3
displace,3
replace,3
substitute,3
supplant,3
succeed,3
follow,3
pursue,3
chase,3
trail,3
track,3
hound,3
hunt,3
stalk,3
shadow,3
tail,3
dog,3
tag,3
label,3
mark,3
brand,3
stamp,3
imprint,3
engrave,3
etch,3
carve,3
sculpt,3
mold,3
shape,3
form,3
forge,3
cast,3
model,3
frame,3
construct,3
build,3
erect,3
raise,3
lift,3
elevate,3
hoist,3
heave,3
tug,3
pull,3
drag,3
haul,3
tow,3
draw,3
attract,3
allure,3
entice,3
tempt,3
lure,3
seduce,3
beguile,3
enamor,3
bewitch,3
enchant,3
captivate,3
fascinate,3
spellbind,3
mesmerize,3
hypnotize,3
entrance,3
transport,3
enrapture,3
enchant,3
thrill,3
excite,3
agitate,3
disturb,3
perturb,3
disquiet,3
unsettle,3
unnerve,3
disconcert,3
confuse,3
bewilder,3
perplex,3
baffle,3
confound,3
nonplus,3
flummox,3
stupefy,3
dumbfound,3
astonish,3
amaze,3
astound,3
daze,3
stun,3
shock,3
jolt,3
startle,3
surprise,3
catch,3
seize,3
grab,3
snatch,3
grasp,3
clutch,3
clasp,3
grip,3
hold,3
cradle,3
embrace,3
hug,3
cuddle,3
snuggle,3
nestle,3
nuzzle,3
caress,3
stroke,3
pet,3
pat,3
tap,3
rap,3
knock,3
bang,3
thump,3
pound,3
batter,3
pummel,3
rain,3
snow,3
sleet,3
hail,3
thunder,3
lightning,3
storm,3
tempest,3
hurricane,3
typhoon,3
cyclone,3
tornado,3
whirlwind,3
dust devil,3
sandstorm,3
blizzard,3
avalanche,3
landslide,3
mudslide,3
earthquake,3
volcano,3
eruption,3
lava,3
magma,3
rock,3
mineral,3
metal,3
iron,3
steel,3
copper,3
bronze,3
brass,3
gold,3
silver,3
platinum,3
diamond,3
gem,3
jewel,3
stone,3
pearl,3
coral,3
amber,3
fossil,3
bone,3
ivory,3
horn,3
antler,3
shell,3
scale,3
feather,3
fur,3
hair,3
wool,3
silk,3
cotton,3
linen,3
leather,3
hide,3
skin,3
bark,3
wood,3
timber,3
lumber,3
paper,3
parchment,3
vellum,3
papyrus,3
clay,3
ceramic,3
pottery,3
porcelain,3
china,3
glass,3
crystal,3
quartz,3
granite,3
marble,3
limestone,3
sandstone,3
slate,3
shale,3
coal,3
peat,3
oil,3
gas,3
petroleum,3
kerosene,3
gasoline,3
diesel,3
ethanol,3
methane,3
hydrogen,3
oxygen,3
nitrogen,3
carbon,3
helium,3
neon,3
argon,3
krypton,3
xenon,3
radon,3
element,3
compound,3
mixture,3
solution,3
suspension,3
colloid,3
alloy,3
amalgam,3
composite,3
material,3
substance,3
matter,3
energy,3
force,3
power,3
strength,3
might,3
potency,3
efficacy,3
effectiveness,3
efficiency,3
productivity,3
output,3
yield,3
harvest,3
crop,3
grain,3
wheat,3
corn,3
rice,3
oats,3
barley,3
rye,3
millet,3
sorghum,3
quinoa,3
buckwheat,3
spelt,3
flax,3
hemp,3
cotton,3
jute,3
sisal,3
bamboo,3
cane,3
sugar,3
honey,3
syrup,3
molasses,3
maple,3
oak,3
pine,3
fir,3
spruce,3
cedar,3
redwood,3
sequoia,3
birch,3
beech,3
maple,3
oak,3
elm,3
ash,3
poplar,3
willow,3
cypress,3
juniper,3
yew,3
holly,3
ivy,3
vine,3
creep,3
climb,3
twine,3
wind,3
curl,3
coil,3
loop,3
spiral,3
helix,3
whorl,3
curve,3
bend,3
arc,3
bow,3
crook,3
hook,3
angle,3
corner,3
edge,3
rim,3
brink,3
verge,3
threshold,3
limit,3
boundary,3
border,3
frontier,3
margin,3
perimeter,3
circumference,3
girth,3
width,3
breadth,3
length,3
height,3
depth,3
thickness,3
thinness,3
slenderness,3
narrowness,3
width,3
breadth,3
scope,3
range,3
reach,3
stretch,3
span,3
extent,3
magnitude,3
size,3
volume,3
capacity,3
content,3
measure,3
quantity,3
amount,3
number,3
count,3
total,3
sum,3
aggregate,3
whole,3
entirety,3
totality,3
all,3
every,3
each,3
any,3
some,3
none,3
zero,3
one,3
two,3
three,3
four,3
five,3
six,3
seven,3
eight,3
nine,3
ten,3
hundred,3
thousand,3
million,3
billion,3
trillion,3
first,3
second,3
third,3
fourth,3
fifth,3
sixth,3
seventh,3
eighth,3
ninth,3
tenth,3
last,3
final,3
ultimate,3
initial,3
primary,3
secondary,3
tertiary,3
major,3
minor,3
chief,3
main,3
principal,3
key,3
central,3
core,3
essential,3
fundamental,3
basic,3
primary,3
elementary,3
simple,3
complex,3
complicated,3
intricate,3
sophisticated,3
advanced,3
difficult,3
hard,3
easy,3
simple,3
effortless,3
quick,3
fast,3
rapid,3
swift,3
speedy,3
hurried,3
hasty,3
urgent,3
pressing,3
immediate,3
instant,3
sudden,3
abrupt,3
unexpected,3
surprising,3
startling,3
shocking,3
astonishing,3
amazing,3
astounding,3
stunning,3
breathtaking,3
thrilling,3
exciting,3
exhilarating,3
electrifying,3
invigorating,3
energizing,3
refreshing,3
revitalizing,3
rejuvenating,3
restorative,3
healing,3
curative,3
therapeutic,3
medicinal,3
beneficial,3
advantageous,3
helpful,3
useful,3
valuable,3
precious,3
priceless,3
invaluable,3
essential,3
necessary,3
indispensable,3
crucial,3
vital,3
critical,3
important,3
